"","Hum","LOI","EC","% CO3","M.S.","pH","OrgC","Sand","Silt","Clay"
"Hum",1,0.82254710429138,0.647606529615307,-0.944184388740469,0.57285182763927,-0.0817698898749369,0.505018834890891,-0.183799667676482,0.685887312304125,-0.597479139248105
"LOI",0.82254710429138,1,0.692249905891439,-0.682530539709286,0.0659080674573834,-0.483958248715077,0.832418892318503,-0.107348435903097,0.715985086603872,-0.721513901837118
"EC",0.647606529615307,0.692249905891439,1,-0.55689726751633,-0.00795598962832272,-0.374928546451231,0.387547428866285,-0.475656546315461,0.72401724791192,-0.304735506926541
"% CO3",-0.944184388740469,-0.682530539709286,-0.55689726751633,1,-0.683358675684427,-0.0926348307081271,-0.304775278095976,0.181948902985784,-0.621961676943273,0.524109197226245
"M.S.",0.57285182763927,0.0659080674573834,-0.00795598962832272,-0.683358675684427,1,0.587846297114196,-0.220025600463512,0.0811877779395825,0.0552510354743067,-0.159228876388679
"pH",-0.0817698898749369,-0.483958248715077,-0.374928546451231,-0.0926348307081271,0.587846297114196,1,-0.480262798464715,-0.051492121420875,-0.166923107181104,0.256772480397506
"OrgC",0.505018834890891,0.832418892318503,0.387547428866285,-0.304775278095976,-0.220025600463512,-0.480262798464715,1,0.159274966738839,0.501590829747546,-0.776841572395676
"Sand",-0.183799667676482,-0.107348435903097,-0.475656546315461,0.181948902985784,0.0811877779395825,-0.051492121420875,0.159274966738839,1,-0.634479448210233,-0.407886697247644
"Silt",0.685887312304125,0.715985086603872,0.72401724791192,-0.621961676943273,0.0552510354743067,-0.166923107181104,0.501590829747546,-0.634479448210233,1,-0.446923410246876
"Clay",-0.597479139248105,-0.721513901837118,-0.304735506926541,0.524109197226245,-0.159228876388679,0.256772480397506,-0.776841572395676,-0.407886697247644,-0.446923410246876,1
