"Period","Parameter","n","Mean","SD","Median","IQR"
"Palaeolithic","% CO3",4,44.5,22.4276614920058,54.5,14
"Palaeolithic","LOI",4,4.51,1.41569770784585,4.16,1.365
"Palaeolithic","M.S.",4,1973.75,1499.19075392915,1380,868.75
"Palaeolithic","OrgC",4,0.5,0.358794277174725,0.575,0.265
"Neolithic","% CO3",6,33.8333333333333,5.38206899497458,35.5,5.25
"Neolithic","LOI",6,8.58,2.26266214888569,9.14,2.6675
"Neolithic","M.S.",6,1520,175.38529014715,1512.5,280
"Neolithic","OrgC",6,4.47666666666667,2.87280814999308,4.5,2.9075
"Chalcolithic","% CO3",1,30,NA,30,0
"Chalcolithic","LOI",1,9.19,NA,9.19,0
"Chalcolithic","M.S.",1,1615,NA,1615,0
"Chalcolithic","OrgC",1,5.08,NA,5.08,0
"Bronze Age","% CO3",1,14,NA,14,0
"Bronze Age","LOI",1,10.92,NA,10.92,0
"Bronze Age","M.S.",1,1890,NA,1890,0
"Bronze Age","OrgC",1,3.62,NA,3.62,0
"Classical Period","% CO3",1,15,NA,15,0
"Classical Period","LOI",1,12.53,NA,12.53,0
"Classical Period","M.S.",1,1980,NA,1980,0
"Classical Period","OrgC",1,4.08,NA,4.08,0
